                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                 0.7385,                 1.2011,                0.41462,                0.81289,                0.94777,                   0.87,                0.95284,                0.79608,                0.93984,                0.85916,                  0.938,                0.58746,                    nan,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     27,                0.70804,                 1.1668,                0.40417,                0.81347,                0.90347,                0.88916,                0.92968,                0.79214,                0.90242,                  0.885,                0.92112,                0.58898,                    nan,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     28,                0.73533,                 1.2013,                0.41103,                0.81359,                0.92278,                0.86875,                0.95379,                0.81522,                0.91747,                0.86375,                0.94341,                0.62397,                    nan,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     29,                0.73128,                  1.177,                0.41068,                0.81348,                0.88685,                 0.8625,                0.93879,                0.75708,                0.88224,                 0.8425,                0.91652,                 0.5418,                    nan,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     30,                0.74467,                 1.1881,                0.41329,                0.81203,                0.83786,                0.85625,                0.90536,                0.78231,                0.83786,                0.85625,                0.90077,                0.59364,                    nan,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.7263,                 1.1767,                0.40886,                0.81263,                0.88973,                 0.8725,                0.93773,                 0.8016,                0.88336,                0.86625,                0.92518,                0.59645,                    nan,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     32,                0.71768,                   1.18,                0.40382,                0.81222,                0.81559,                0.85625,                 0.9093,                0.78253,                0.82109,                   0.83,                0.88902,                0.57504,                    nan,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     33,                0.70895,                 1.1658,                0.40121,                0.81243,                0.88099,                0.84625,                0.93078,                0.78908,                0.87486,                0.83375,                 0.9149,                0.57406,                    nan,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     34,                0.71165,                 1.1481,                0.39609,                0.81224,                0.88234,                 0.8718,                0.94354,                0.81035,                0.88045,                0.86533,                 0.9379,                0.62183,                    nan,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     35,                0.70068,                 1.1575,                0.39198,                0.81343,                0.82958,                0.87625,                0.91496,                0.78714,                 0.8243,                0.86205,                0.90464,                0.58685,                    nan,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
